r,g_r,pair_counts,shell_volume,coordination_number
0.025,0.0,0.0,0.0005235987755982989,0.0
0.07500000000000001,0.0,0.0,0.0036651914291880926,0.0
0.125,0.0,0.0,0.009948376736367682,0.0
0.17500000000000002,0.0,0.0,0.01937315469713706,0.0
0.225,0.0,0.0,0.03193952531149622,0.0
0.275,0.0,0.0,0.04764748857944525,0.0
0.32500000000000007,0.0,0.0,0.06649704450098394,0.0
0.375,0.0,0.0,0.08848819307611253,0.0
0.42500000000000004,0.0,0.0,0.11362093430483083,0.0
0.475,0.0,0.0,0.14189526818713893,0.0
0.525,0.0,0.0,0.17331119472303713,0.0
0.5750000000000001,0.0,0.0,0.20786871391252487,0.0
0.625,0.0,0.0,0.2455678257556017,0.0
0.675,0.0,0.0,0.28640853025226976,0.0
0.7250000000000001,0.0,0.0,0.33039082740252623,0.0
0.775,0.0,0.0,0.377514717206374,0.0
0.8250000000000001,0.0,0.0,0.4277801996638102,0.0
0.875,0.0,0.0,0.4811872747748364,0.0
0.925,0.11197885244396302,14.0,0.5377359425394534,0.04374999999999999
0.9750000000000001,1.007907812970643,140.0,0.597426202957658,0.48125000000000007
1.025,1.9412416378761261,298.0,0.6602580560294553,1.4125
1.0750000000000002,2.517044475253824,425.0,0.7262315017548416,2.7406250000000005
1.125,2.2063825277748355,408.0,0.795346540133816,4.015625
1.1750000000000003,1.9433095237649964,392.0,0.867603171166383,5.2406250000000005
1.225,1.6100501846340352,353.0,0.9430013948525325,6.34375
1.275,1.2673239627826383,301.0,1.0215412111922813,7.284375
1.3250000000000002,1.111114320160206,285.0,1.103222620185617,8.175
1.375,0.8905924963529471,246.0,1.188045621832541,8.943750000000001
1.4250000000000003,0.7348173210114627,218.0,1.2760102161330567,9.625000000000002
1.475,0.7645005852921158,243.0,1.367116403087153,10.384375000000002
1.525,0.815264164518763,277.0,1.461364182694854,11.250000000000002
1.5750000000000002,0.8388284841840973,304.0,1.5587535549561375,12.200000000000001
1.625,0.7024662641582847,271.0,1.659284519871011,13.046875000000002
1.6750000000000003,0.8368149378582657,343.0,1.7629570774394707,14.118750000000002
1.725,0.8511190170856834,370.0,1.8697712276615204,15.275000000000002
1.775,0.9342007221781554,430.0,1.979726970537171,16.618750000000002
1.8250000000000002,0.8282268742335305,403.0,2.0928243060664005,17.878125
1.875,0.8177455424978664,420.0,2.209063234249227,19.190625
1.9250000000000003,0.7518058491149682,407.0,2.3284437550856363,20.462500000000002
1.975,0.8160048353355057,465.0,2.450965868575628,21.915625000000002
2.0250000000000004,0.6894060766243681,413.0,2.5766295747192394,23.20625
2.075,0.6231979641723655,392.0,2.7054348735164035,24.431250000000002
2.125,0.6169552705322524,407.0,2.8373817649671724,25.703125000000004
2.175,0.48184100916182043,333.0,2.9724702490715607,26.743750000000002
2.225,0.37193851098572533,269.0,3.11070032582948,27.584375
2.2750000000000004,0.3187380664701782,241.0,3.252071995241048,28.337500000000002
2.325,0.24692731490112474,195.0,3.396585257306154,28.946875000000002
2.375,0.1686819863973678,139.0,3.54424011202491,29.38125
2.4250000000000003,0.15015784032403118,129.0,3.695036559397181,29.784375
2.475,0.10951108287575216,98.0,3.8489745994230793,30.090625
2.5250000000000004,0.09770158534697068,91.0,4.0060542321026045,30.375
2.575,0.057811879582732505,56.0,4.1662754574356455,30.55
2.625,0.04867674266656456,49.0,4.329638275422366,30.703125
2.6750000000000003,0.025828591387468337,27.0,4.496142686062571,30.7875
2.725,0.01751481593968177,19.0,4.665788689356426,30.846875
2.7750000000000004,0.01511152770123165,17.0,4.838576285303901,30.900000000000002
2.825,0.013723627316630684,16.0,5.014505473904892,30.950000000000003
2.875,0.00579707034277394,7.0,5.193576255159561,30.971875000000004
2.9250000000000003,0.0056005786237435734,7.0,5.375788629067717,30.993750000000006
2.975,0.00154683149905108,2.0,5.561142595629507,31.000000000000007
3.0250000000000004,0.0,0.0,5.749638154844946,31.000000000000007
3.075,0.0,0.0,5.941275306713886,31.000000000000007
3.125,0.0,0.0,6.13605405123649,31.000000000000007
3.1750000000000003,0.0,0.0,6.33397438841261,31.000000000000007
3.225,0.0,0.0,6.5350363182423346,31.000000000000007
3.2750000000000004,0.0,0.0,6.739239840725753,31.000000000000007
3.325,0.0,0.0,6.9465849558625985,31.000000000000007
3.375,0.0,0.0,7.157071663653167,31.000000000000007
3.4250000000000003,0.0,0.0,7.370699964097251,31.000000000000007
3.475,0.0,0.0,7.587469857194911,31.000000000000007
